log_id,timestamp,user_id,action,details,ip_address
LOG000001,2025-12-29 23:03:34,U0007,Login,"{""status"": ""success"", ""resource_id"": ""RES390""}",192.168.1.206
LOG000002,2025-12-14 11:47:34,U0009,Create Claim,"{""status"": ""success"", ""resource_id"": ""RES199""}",192.168.1.88
LOG000003,2025-12-14 06:22:34,U0008,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES257""}",192.168.1.147
LOG000004,2026-02-01 21:53:34,U0002,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES217""}",192.168.1.7
LOG000005,2025-12-31 20:43:34,U0003,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES821""}",192.168.1.5
LOG000006,2026-02-25 05:27:34,U0007,Update Claim,"{""status"": ""success"", ""resource_id"": ""RES531""}",192.168.1.12
LOG000007,2026-02-16 12:54:34,U0003,Update User,"{""status"": ""success"", ""resource_id"": ""RES994""}",192.168.1.50
LOG000008,2026-02-13 23:47:34,U0002,Update Inventory,"{""status"": ""success"", ""resource_id"": ""RES434""}",192.168.1.93
LOG000009,2026-02-22 10:41:34,U0002,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES698""}",192.168.1.223
LOG000010,2026-02-09 04:53:34,U0009,Login,"{""status"": ""success"", ""resource_id"": ""RES980""}",192.168.1.247
LOG000011,2026-02-03 14:27:34,U0001,Update Inventory,"{""status"": ""success"", ""resource_id"": ""RES811""}",192.168.1.79
LOG000012,2026-01-24 08:55:34,U0003,Add User,"{""status"": ""success"", ""resource_id"": ""RES654""}",192.168.1.83
LOG000013,2026-02-06 13:56:34,U0004,Add User,"{""status"": ""success"", ""resource_id"": ""RES282""}",192.168.1.139
LOG000014,2025-12-23 02:45:34,U0003,Reject Claim,"{""status"": ""success"", ""resource_id"": ""RES632""}",192.168.1.36
LOG000015,2026-01-23 16:26:34,U0004,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES704""}",192.168.1.72
LOG000016,2026-01-07 21:40:34,U0005,Logout,"{""status"": ""success"", ""resource_id"": ""RES996""}",192.168.1.110
LOG000017,2026-01-19 11:49:34,U0004,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES950""}",192.168.1.116
LOG000018,2025-12-23 11:00:34,U0006,Update Claim,"{""status"": ""success"", ""resource_id"": ""RES943""}",192.168.1.138
LOG000019,2025-12-15 21:50:34,U0009,Add User,"{""status"": ""success"", ""resource_id"": ""RES212""}",192.168.1.64
LOG000020,2026-01-05 11:52:34,U0010,Login,"{""status"": ""success"", ""resource_id"": ""RES316""}",192.168.1.81
LOG000021,2025-12-29 07:13:34,U0010,Update Claim,"{""status"": ""success"", ""resource_id"": ""RES885""}",192.168.1.28
LOG000022,2026-01-05 19:59:34,U0010,Export Report,"{""status"": ""success"", ""resource_id"": ""RES851""}",192.168.1.40
LOG000023,2025-12-22 19:34:34,U0005,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES725""}",192.168.1.169
LOG000024,2026-02-26 18:10:34,U0008,Logout,"{""status"": ""success"", ""resource_id"": ""RES847""}",192.168.1.204
LOG000025,2026-01-16 16:41:34,U0003,Update User,"{""status"": ""success"", ""resource_id"": ""RES769""}",192.168.1.152
LOG000026,2026-01-13 03:56:34,U0010,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES486""}",192.168.1.240
LOG000027,2026-02-26 02:46:34,U0008,Logout,"{""status"": ""success"", ""resource_id"": ""RES385""}",192.168.1.169
LOG000028,2026-02-17 02:43:34,U0006,Logout,"{""status"": ""success"", ""resource_id"": ""RES352""}",192.168.1.149
LOG000029,2026-02-10 07:12:34,U0008,Logout,"{""status"": ""success"", ""resource_id"": ""RES781""}",192.168.1.233
LOG000030,2025-12-12 07:50:34,U0002,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES827""}",192.168.1.126
LOG000031,2026-03-04 16:52:34,U0003,Reject Claim,"{""status"": ""success"", ""resource_id"": ""RES716""}",192.168.1.136
LOG000032,2025-12-24 08:46:34,U0005,Approve Claim,"{""status"": ""success"", ""resource_id"": ""RES331""}",192.168.1.67
LOG000033,2026-02-17 06:10:34,U0004,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES372""}",192.168.1.169
LOG000034,2026-01-16 04:22:34,U0006,Export Report,"{""status"": ""success"", ""resource_id"": ""RES426""}",192.168.1.79
LOG000035,2026-02-12 06:49:34,U0008,Add User,"{""status"": ""success"", ""resource_id"": ""RES437""}",192.168.1.254
